x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.043339,-0.049375,-0.021701,-0.001303,0.029049,-0.020965,-0.102079,0.378969,-1.000000,0.214114,0.343731,-0.433530,0.108408,-0.204319
-0.042313,-0.051943,-0.018481,-0.006247,0.025351,-0.020104,-0.164919,0.194945,-0.943548,0.227089,0.052678,-0.414888,-0.033472,0.120051
-0.040610,-0.053887,-0.015348,-0.013065,0.016812,-0.018074,-0.160985,0.116896,-0.812157,0.283336,-0.077251,-0.459260,-0.056579,0.241041
-0.038528,-0.055200,-0.012821,-0.019675,0.011811,-0.015790,-0.136831,0.080738,-0.642613,0.280997,-0.047637,-0.639265,0.385620,-0.029134
-0.035937,-0.056321,-0.011153,-0.025307,0.010115,-0.009633,-0.084406,0.003478,-0.457037,0.321650,-0.016651,-0.633053,0.539325,-0.136179
-0.033275,-0.056960,-0.010638,-0.030589,0.006914,-0.003215,0.015963,-0.016993,-0.385409,0.441395,0.155294,-0.323607,0.404654,-0.161228
-0.030270,-0.057113,-0.011344,-0.034424,0.002504,0.004075,0.032574,0.075277,-0.196465,0.430338,0.275421,-0.225175,0.398070,-0.197152
-0.027766,-0.057239,-0.013528,-0.034445,0.003985,0.013644,-0.038885,0.164823,0.127624,0.386468,0.270185,-0.404006,0.299983,-0.062996
-0.025508,-0.057476,-0.017074,-0.031814,0.006041,0.020460,-0.051712,0.231467,0.315761,0.362092,0.386714,-0.392196,0.111138,-0.002002
-0.023619,-0.057574,-0.020583,-0.030013,0.004553,0.021928,-0.051680,0.336769,0.342688,0.280648,0.535621,-0.313448,0.194196,-0.146079
-0.021709,-0.057595,-0.024406,-0.028575,0.003399,0.022063,-0.110718,0.431682,0.381468,0.152357,0.544425,-0.368970,0.192813,-0.132983
-0.020162,-0.057645,-0.027580,-0.025241,0.003202,0.019844,-0.128967,0.467521,0.386576,0.134785,0.605417,-0.317954,-0.053672,-0.020792
-0.018785,-0.057187,-0.030600,-0.021138,-0.002896,0.017421,-0.106789,0.463555,0.315050,0.161426,0.664127,-0.269490,-0.118299,-0.041871
