x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.006201,-0.005001,-0.014235,0.000272,0.000322,-0.000189,-0.064691,-0.009091,-0.002483,0.017530,0.285309,-0.374471,0.236866,-0.138801
0.006179,-0.005025,-0.014204,0.000266,0.000293,-0.000192,-0.064618,-0.009343,-0.002428,0.017479,0.285234,-0.374465,0.237014,-0.138900
0.006156,-0.005048,-0.014171,0.000259,0.000264,-0.000194,-0.064550,-0.009592,-0.002445,0.017427,0.285143,-0.374460,0.237153,-0.138989
0.006130,-0.005072,-0.014131,0.000253,0.000233,-0.000197,-0.064476,-0.009851,-0.002362,0.017367,0.285066,-0.374436,0.237297,-0.139083
0.006110,-0.005088,-0.014099,0.000246,0.000203,-0.000199,-0.064415,-0.010120,-0.002294,0.017304,0.284959,-0.374422,0.237452,-0.139167
0.006088,-0.005104,-0.014065,0.000239,0.000176,-0.000201,-0.064328,-0.010426,-0.002291,0.017253,0.284865,-0.374424,0.237575,-0.139260
0.006069,-0.005116,-0.014032,0.000233,0.000149,-0.000202,-0.064245,-0.010722,-0.002161,0.017191,0.284799,-0.374399,0.237741,-0.139382
0.006049,-0.005126,-0.013997,0.000227,0.000122,-0.000203,-0.064186,-0.011004,-0.002046,0.017094,0.284667,-0.374384,0.237958,-0.139490
0.006031,-0.005133,-0.013964,0.000220,0.000095,-0.000204,-0.064102,-0.011270,-0.001955,0.017017,0.284605,-0.374356,0.238104,-0.139605
0.006012,-0.005139,-0.013929,0.000214,0.000069,-0.000206,-0.064006,-0.011545,-0.001910,0.016962,0.284579,-0.374306,0.238234,-0.139753
0.005995,-0.005142,-0.013896,0.000207,0.000044,-0.000206,-0.063929,-0.011825,-0.001805,0.016890,0.284504,-0.374277,0.238352,-0.139845
0.005978,-0.005143,-0.013860,0.000201,0.000018,-0.000207,-0.063865,-0.012116,-0.001688,0.016810,0.284382,-0.374262,0.238468,-0.139896
0.005962,-0.005142,-0.013826,0.000194,-0.000007,-0.000208,-0.063782,-0.012410,-0.001568,0.016742,0.284297,-0.374249,0.238623,-0.140007
0.005945,-0.005138,-0.013790,0.000188,-0.000032,-0.000209,-0.063686,-0.012725,-0.001494,0.016684,0.284220,-0.374247,0.238807,-0.140159
0.005931,-0.005133,-0.013757,0.000181,-0.000056,-0.000210,-0.063594,-0.013026,-0.001376,0.016619,0.284147,-0.374204,0.238958,-0.140280
0.005916,-0.005125,-0.013720,0.000174,-0.000080,-0.000210,-0.063510,-0.013336,-0.001240,0.016541,0.284048,-0.374135,0.239116,-0.140383
0.005902,-0.005116,-0.013687,0.000167,-0.000104,-0.000210,-0.063423,-0.013639,-0.001097,0.016472,0.283970,-0.374106,0.239255,-0.140491
0.005888,-0.005103,-0.013650,0.000161,-0.000127,-0.000211,-0.063327,-0.013953,-0.000987,0.016413,0.283905,-0.374099,0.239388,-0.140616
0.005876,-0.005090,-0.013616,0.000154,-0.000150,-0.000210,-0.063232,-0.014266,-0.000848,0.016347,0.283830,-0.374067,0.239539,-0.140739
0.005863,-0.005074,-0.013580,0.000148,-0.000173,-0.000210,-0.063141,-0.014602,-0.000710,0.016271,0.283716,-0.374020,0.239705,-0.140846
0.005852,-0.005057,-0.013546,0.000141,-0.000195,-0.000210,-0.063048,-0.014912,-0.000547,0.016198,0.283640,-0.373976,0.239855,-0.140965
0.005840,-0.005036,-0.013510,0.000134,-0.000217,-0.000210,-0.062949,-0.015245,-0.000410,0.016127,0.283566,-0.373948,0.240017,-0.141107
0.005830,-0.005016,-0.013476,0.000127,-0.000238,-0.000210,-0.062850,-0.015564,-0.000255,0.016060,0.283499,-0.373910,0.240153,-0.141230
0.005819,-0.004991,-0.013440,0.000121,-0.000260,-0.000210,-0.062751,-0.015898,-0.000100,0.015989,0.283408,-0.373856,0.240307,-0.141349
0.005810,-0.004967,-0.013407,0.000114,-0.000280,-0.000209,-0.062651,-0.016227,0.000066,0.015924,0.283323,-0.373817,0.240454,-0.141466
0.005801,-0.004939,-0.013370,0.000107,-0.000300,-0.000210,-0.062544,-0.016574,0.000211,0.015866,0.283240,-0.373787,0.240599,-0.141594
0.005793,-0.004912,-0.013337,0.000100,-0.000320,-0.000209,-0.062440,-0.016900,0.000381,0.015806,0.283166,-0.373745,0.240753,-0.141726
0.005785,-0.004880,-0.013301,0.000093,-0.000340,-0.000209,-0.062333,-0.017262,0.000549,0.015741,0.283060,-0.373699,0.240923,-0.141851
0.005778,-0.004849,-0.013267,0.000086,-0.000359,-0.000208,-0.062230,-0.017586,0.000732,0.015683,0.282988,-0.373647,0.241062,-0.141973
0.005772,-0.004814,-0.013232,0.000080,-0.000378,-0.000207,-0.062116,-0.017953,0.000911,0.015618,0.282905,-0.373601,0.241228,-0.142116
0.005766,-0.004780,-0.013199,0.000073,-0.000397,-0.000206,-0.062011,-0.018284,0.001103,0.015561,0.282833,-0.373559,0.241366,-0.142238
0.005761,-0.004742,-0.013163,0.000066,-0.000415,-0.000205,-0.061900,-0.018639,0.001295,0.015491,0.282747,-0.373505,0.241529,-0.142374
0.005756,-0.004705,-0.013131,0.000060,-0.000433,-0.000204,-0.061792,-0.018981,0.001492,0.015431,0.282671,-0.373456,0.241675,-0.142501
0.005752,-0.004663,-0.013095,0.000053,-0.000451,-0.000203,-0.061678,-0.019337,0.001681,0.015369,0.282595,-0.373404,0.241821,-0.142637
0.005748,-0.004624,-0.013063,0.000047,-0.000467,-0.000202,-0.061568,-0.019678,0.001882,0.015306,0.282523,-0.373355,0.241967,-0.142768
0.005745,-0.004579,-0.013028,0.000040,-0.000484,-0.000201,-0.061455,-0.020045,0.002080,0.015243,0.282431,-0.373306,0.242118,-0.142895
0.005743,-0.004536,-0.012996,0.000034,-0.000500,-0.000200,-0.061343,-0.020383,0.002276,0.015189,0.282360,-0.373254,0.242259,-0.143026
0.005741,-0.004489,-0.012962,0.000027,-0.000516,-0.000200,-0.061222,-0.020755,0.002473,0.015134,0.282274,-0.373204,0.242421,-0.143170
0.005740,-0.004444,-0.012930,0.000021,-0.000531,-0.000199,-0.061108,-0.021100,0.002672,0.015088,0.282198,-0.373153,0.242557,-0.143293
0.005739,-0.004393,-0.012895,0.000014,-0.000546,-0.000199,-0.060985,-0.021474,0.002872,0.015039,0.282108,-0.373094,0.242711,-0.143427
0.005739,-0.004346,-0.012864,0.000008,-0.000560,-0.000198,-0.060868,-0.021827,0.003072,0.014997,0.282026,-0.373047,0.242857,-0.143555
0.005739,-0.004293,-0.012829,0.000002,-0.000574,-0.000197,-0.060744,-0.022202,0.003273,0.014953,0.281935,-0.372998,0.243011,-0.143690
0.005740,-0.004243,-0.012798,-0.000005,-0.000587,-0.000197,-0.060624,-0.022559,0.003477,0.014913,0.281854,-0.372943,0.243160,-0.143822
0.005741,-0.004188,-0.012764,-0.000011,-0.000601,-0.000197,-0.060499,-0.022933,0.003675,0.014872,0.281761,-0.372887,0.243319,-0.143959
0.005743,-0.004136,-0.012732,-0.000017,-0.000613,-0.000196,-0.060379,-0.023284,0.003873,0.014835,0.281682,-0.372835,0.243462,-0.144089
0.005745,-0.004078,-0.012699,-0.000022,-0.000626,-0.000195,-0.060250,-0.023678,0.004081,0.014799,0.281587,-0.372777,0.243611,-0.144221
0.005748,-0.004024,-0.012667,-0.000028,-0.000638,-0.000195,-0.060132,-0.024024,0.004278,0.014764,0.281504,-0.372724,0.243752,-0.144346
0.005752,-0.003964,-0.012634,-0.000034,-0.000649,-0.000194,-0.060006,-0.024401,0.004480,0.014722,0.281405,-0.372676,0.243925,-0.144490
0.005755,-0.003908,-0.012603,-0.000039,-0.000660,-0.000194,-0.059883,-0.024766,0.004678,0.014694,0.281319,-0.372623,0.244061,-0.144613
0.005760,-0.003846,-0.012569,-0.000044,-0.000671,-0.000194,-0.059754,-0.025142,0.004867,0.014663,0.281233,-0.372553,0.244205,-0.144750
0.005764,-0.003789,-0.012538,-0.000049,-0.000682,-0.000193,-0.059634,-0.025501,0.005070,0.014628,0.281139,-0.372505,0.244363,-0.144881
0.005770,-0.003725,-0.012505,-0.000054,-0.000692,-0.000193,-0.059511,-0.025886,0.005271,0.014595,0.281032,-0.372460,0.244509,-0.145002
0.005775,-0.003666,-0.012474,-0.000059,-0.000701,-0.000192,-0.059386,-0.026243,0.005456,0.014569,0.280953,-0.372398,0.244650,-0.145135
0.005781,-0.003600,-0.012441,-0.000064,-0.000710,-0.000192,-0.059256,-0.026629,0.005647,0.014538,0.280853,-0.372342,0.244822,-0.145282
0.005787,-0.003539,-0.012410,-0.000069,-0.000719,-0.000192,-0.059139,-0.026984,0.005838,0.014510,0.280756,-0.372294,0.244958,-0.145397
0.005794,-0.003473,-0.012376,-0.000074,-0.000728,-0.000193,-0.059006,-0.027370,0.006023,0.014490,0.280657,-0.372229,0.245105,-0.145530
0.005801,-0.003410,-0.012345,-0.000078,-0.000734,-0.000193,-0.058879,-0.027728,0.006183,0.014480,0.280565,-0.372181,0.245252,-0.145662
0.005809,-0.003342,-0.012312,-0.000083,-0.000743,-0.000194,-0.058746,-0.028125,0.006366,0.014469,0.280450,-0.372136,0.245405,-0.145788
